"id","intentional_cause"
10310,0.098944453312164
10311,0.127302951833358
10312,0.103726937090903
10313,0.102574058680639
10314,0.20962707563986
10315,0.294543040906732
10316,0.282897791412778
10317,0.282897791412778
10318,0.329309870504432
10319,0.234280390215662
10320,0.250688578403308
10321,0.170515732872306
10322,0.247264724054009
10323,0.272753706191576
10324,0.301601138156855
10325,0.354216995483319
10326,0.354216995483319
10327,0.191392857896022
10328,0.243576949068219
10329,0.23549524452738
10330,0.285848024463492
10331,0.285848024463492
10332,0.167726630864064
10333,0.293909233524678
10334,0.269537381546322
10335,0.196326613228446
10336,0.236968012540438
10337,0.197448707568133
10338,0.25280532538858
10339,0.319499074999793
10340,0.338463881789956
10341,0.227670749333295
10342,0.23725758995493
10343,0.338463881789956
10344,0.134683931789153
10345,0.260866534449767
10346,0.194628050258383
10347,0.122293564877207
10348,0.236282257800597
10349,0.203239558725686
10350,0.269747458771097
10351,0.362411507107716
10352,0.284814159767527
10353,0.203239558725686
10354,0.284814159767527
10355,0.193357471695318
10356,0.170196859650775
10357,0.152155534078971
10358,0.152155534078971
10359,0.279112800302447
10360,0.352144772312592
10361,0.309604958540435
10362,0.236152985592054
10363,0.187054629688261
10364,0.358476506323907
10365,0.358476506323907
10366,0.233443516836306
10367,0.175890271279172
10368,0.352144772312592
10369,0.243519560390613
10370,0.15401193061335
10371,0.190689805778057
10372,0.275991702030554
10373,0.269331872893344
10374,0.267930492969368
10375,0.275991702030554
10376,0.34554272596487
10377,0.184645966848281
10378,0.274547112000024
10379,0.234887793894457
10380,0.242949002955643
10381,0.297961688643066
10382,0.237685457407302
10383,0.231876290493243
10384,0.325624718023758
10385,0.213172388388443
10386,0.317990543110826
10387,0.181010495707912
10388,0.181941972533747
10389,0.123527983536449
10390,0.239030450207439
10391,0.292582018948847
10392,0.230969241146253
10393,0.17388076347256
10394,0.197926542071342
10395,0.189633889349828
10396,0.174041593580064
10397,0.344145444765308
10398,0.311102745690397
10399,0.344145444765308
10400,0.210583593590365
10401,0.200462699275296
10402,0.323743483766724
10403,0.219995417360016
10404,0.0530492389484429
10405,0.19240149021411
10406,0.144498195440542
10407,0.19240149021411
10408,0.221073751145333
10409,0.170720971209222
10410,0.304403791036847
10411,0.382001138377036
10412,0.26329988290075
10413,0.348958439302125
10414,0.253185016878202
10415,0.271361091961936
10416,0.278053624050721
10417,0.340893647068395
10418,0.247924543757116
10419,0.197107630202242
10420,0.238763599845209
10421,0.20730339399577
10422,0.307856716767031
10423,0.222198160365656
10424,0.307856716767031
10425,0.181338531076544
10426,0.222198160365656
10427,0.254598746113368
10428,0.307856716767031
10429,0.210249063101448
10430,0.0950350798421138
10431,0.189155461290744
10432,0.218104062902618
10433,0.203460483989634
10434,0.24349909635734
10435,0.232926577511383
10436,0.193146316421229
10437,0.210456397282429
10438,-0.0334218539960056
10439,0.170417784914722
10440,0.218517606343615
10441,0.195120074427552
10442,0.296114953683805
10443,0.296114953683805
10444,0.296114953683805
10445,0.263659026101996
10446,0.249927384452714
10447,0.25559781704081
10448,0.203876483105593
10449,0.236958551250492
10450,0.222555117965898
10451,0.252883370149996
10452,0.341256373442185
10453,0.210605834640731
10454,0.258509129414298
10455,0.222555117965898
10456,0.161734867320494
10457,0.197828441860564
10458,0.00362983278605523
10459,0.144646360501897
10460,0.26136625760252
10461,0.218420750387038
10462,0.0624483938988639
10463,-0.0444343629251379
10464,0.15728779499942
10465,0.120107773541028
10466,0.176276107450598
10467,0.122110552809301
10468,0.212147876981382
